Date,Price
20-May-87,18.63
21-May-87,18.45
22-May-87,18.55
25-May-87,18.6
26-May-87,18.63
27-May-87,18.6
28-May-87,18.6
29-May-87,18.58
01-Jun-87,18.65
02-Jun-87,18.68
03-Jun-87,18.75
04-Jun-87,18.78
05-Jun-87,18.65
08-Jun-87,18.75
09-Jun-87,18.78
10-Jun-87,18.78
11-Jun-87,18.68
12-Jun-87,18.78
16-Jun-87,18.9
17-Jun-87,19.03
18-Jun-87,19.05
19-Jun-87,19.05
22-Jun-87,19.1
23-Jun-87,18.9
24-Jun-87,18.75
25-Jun-87,18.7
26-Jun-87,19.08
29-Jun-87,19.15
30-Jun-87,19.08
01-Jul-87,18.98
02-Jul-87,19.25
03-Jul-87,19.33
06-Jul-87,19.48
07-Jul-87,19.5
08-Jul-87,19.48
09-Jul-87,19.68
10-Jul-87,19.73
13-Jul-87,19.83
14-Jul-87,19.88
15-Jul-87,20.28
16-Jul-87,20.4
17-Jul-87,20.63
20-Jul-87,20.55
21-Jul-87,20.35
22-Jul-87,20.33
23-Jul-87,20.15
24-Jul-87,19.58
27-Jul-87,19.3
28-Jul-87,19.78
29-Jul-87,19.98
30-Jul-87,20.2
31-Jul-87,20.03
03-Aug-87,20.95
04-Aug-87,20.65
05-Aug-87,19.8
06-Aug-87,19.75
07-Aug-87,19.65
10-Aug-87,19.43
11-Aug-87,19.45
12-Aug-87,19.5
13-Aug-87,19.4
14-Aug-87,19.25
17-Aug-87,18.85
18-Aug-87,18.75
19-Aug-87,18.5
20-Aug-87,18.3
21-Aug-87,18.1
24-Aug-87,17.48
25-Aug-87,17.55
26-Aug-87,18.1
27-Aug-87,18.28
28-Aug-87,18.2
31-Aug-87,18.63
01-Sep-87,18.43
02-Sep-87,18.4
03-Sep-87,18.18
04-Sep-87,18.13
07-Sep-87,17.6
08-Sep-87,17.68
09-Sep-87,17.9
10-Sep-87,18.3
11-Sep-87,18.18
14-Sep-87,18.15
15-Sep-87,18.53
16-Sep-87,18.53
17-Sep-87,18.43
18-Sep-87,18.3
21-Sep-87,18.28
22-Sep-87,18.48
23-Sep-87,18.48
24-Sep-87,18.68
25-Sep-87,18.6
28-Sep-87,18.65
29-Sep-87,18.5
30-Sep-87,18.48
01-Oct-87,18.5
02-Oct-87,18.65
05-Oct-87,18.78
06-Oct-87,18.6
07-Oct-87,18.58
08-Oct-87,18.63
09-Oct-87,18.6
12-Oct-87,18.55
13-Oct-87,18.55
14-Oct-87,18.68
15-Oct-87,18.68
16-Oct-87,19
19-Oct-87,19.1
20-Oct-87,18.78
21-Oct-87,18.93
22-Oct-87,19.13
23-Oct-87,18.98
26-Oct-87,18.75
27-Oct-87,18.8
28-Oct-87,18.85
29-Oct-87,18.75
30-Oct-87,18.8
02-Nov-87,18.63
03-Nov-87,18.38
04-Nov-87,17.93
05-Nov-87,17.85
06-Nov-87,17.95
09-Nov-87,17.5
10-Nov-87,17.75
11-Nov-87,17.8
12-Nov-87,17.85
13-Nov-87,17.8
16-Nov-87,17.68
17-Nov-87,17.4
18-Nov-87,17.18
19-Nov-87,17.48
20-Nov-87,17.6
23-Nov-87,17.9
24-Nov-87,17.83
25-Nov-87,17.68
26-Nov-87,17.73
27-Nov-87,17.78
30-Nov-87,17.7
01-Dec-87,17.65
02-Dec-87,17.7
03-Dec-87,17.93
04-Dec-87,18
07-Dec-87,17.78
08-Dec-87,17.58
09-Dec-87,17.43
10-Dec-87,17.55
11-Dec-87,17.73
14-Dec-87,16.8
15-Dec-87,16.2
16-Dec-87,15.93
17-Dec-87,15.03
18-Dec-87,15.6
21-Dec-87,15.4
22-Dec-87,16.7
23-Dec-87,17.25
24-Dec-87,17.1
28-Dec-87,17
29-Dec-87,17.38
30-Dec-87,17.85
31-Dec-87,17.6
04-Jan-88,17.95
05-Jan-88,17.08
06-Jan-88,17.9
08-Jan-88,16.88
11-Jan-88,16.65
12-Jan-88,15.95
13-Jan-88,16.38
14-Jan-88,16.55
15-Jan-88,16.65
18-Jan-88,16.83
19-Jan-88,17.1
20-Jan-88,16.83
21-Jan-88,17.08
22-Jan-88,16.7
25-Jan-88,16.45
27-Jan-88,16.13
28-Jan-88,16.1
29-Jan-88,16.28
01-Feb-88,16.1
02-Feb-88,16.18
03-Feb-88,16.15
04-Feb-88,16.18
05-Feb-88,16.1
08-Feb-88,16.5
09-Feb-88,16.4
10-Feb-88,16.13
11-Feb-88,16.1
12-Feb-88,15.75
15-Feb-88,15.68
16-Feb-88,15.63
17-Feb-88,15.85
18-Feb-88,15.48
19-Feb-88,15.55
22-Feb-88,15.38
23-Feb-88,15.58
24-Feb-88,15.35
25-Feb-88,14.85
26-Feb-88,14.65
29-Feb-88,14.73
01-Mar-88,14.18
02-Mar-88,13.8
03-Mar-88,14
04-Mar-88,14
07-Mar-88,13.9
08-Mar-88,13.8
09-Mar-88,13.98
10-Mar-88,14.48
11-Mar-88,14.88
14-Mar-88,14.28
15-Mar-88,14.3
16-Mar-88,14.45
17-Mar-88,14.43
18-Mar-88,14.93
